KGun_ID,Kuni_ID,M17G_ID,Ken_Nm,Kuni_Nm,Gun_Nm,MeijiYear,Notes,RSI_19Sep07,RSIX19Sep07,RSI_11Sep07,RSIX11Sept07,RSI_9Jun07,RSIX9Jun07,CPZ,Hi_LUH,Sum_Pop,URC,Pct_class,Size_class,Pct_Urb,AreaGIS,Calc_Pop,JPT_ID,G277,G278,G001_cho,G001_km2,G002_cho,G282_km2,G1_G2,Missing,G4_G5,G004_cho,G005_cho,G006_cho,G007_yen,G009_cho,G010_yen,G137,G402_cho,G405_cho,G016_cho,G016_km2,G408_cho,G398,G399,G021,g021P,g015R,g21_g305,G347,G026,G032,G033,G034,G035,G036,G037,G038,G039,G301,G302,G303,G304,G305,G306,G316,G318,G319,G320,G321,G322,G323,G336,G337,G040,G041,G338,G339,G340,G341,G029,G030,G031,G348,G283,G284,G285,g303_g285,G286,G525,G523,G042,G043,G044,G045,G046,G047,G324,G325,G326,G360,G361,G362,G054,G055,G056,G057,G063,G064,G065,g41,g42,G077,G078,G085,G086,G090,G092,G095,G099,G100,G751,G752,G108,g56,g57,G111,G112,G119,g60a,g60b,G120,G121,G122,G123,G124,G359,G125,g287,G126,G329,g288,G127,G130,G131,G128,G134,G135,G133,G307,G308,G309,G141,G142,G145,G152,G153,G310,G158,G159,G160,G1080,G313,G334,G335,G161,G162,g85,g86,g87,g88,G203,G206,G260,G263,G114,g94,g95,g96,g97,g94_97,g94_sum,g94_,g94r,g94c,g94k,g95conv,g95_hash,g95r,g95c,g95k,g96conv,g96_hash,g96r,g96c,g96k,g97conv,g97_hash,g97r,g97c,g97k,g98a,g99b
202,2,2,Iwate,Rikuchû,Hiqashiiwai,M22,,88.35364826,5,87.681958,5,84.88652667,5,5,,,8,,6,0,711,,,page 112 東北編,,54311.5,538.77008,148.3,710.505,54459.8,71645.15478,54459.8,11365,43094.8,4332.7,994940,7032.3,603841,1598781,473.1,208.9,931.3,9.238496,531.9,12296.3,53528.5,9766,6.666188818,65102,516,9250,42,22,1,50,48,9140,87,24486,31268,23,98,9227,55754,9250,55852,65102,121,64981,72,49,33626,31355,33698,31404,0,0,0,33698,31404,65102,64953,33506,31447,65102,33506,31447,64953,,9766,6.650931804,106.5475244,627,,,467,,,-160,,,,,1094,15462,15462,5830,16172,8,7137,5051.8,,,,,,,20,225,16,,,19,125,,,,1,1,1219,1000,219,81,188,298,180,253,741,90,1.266704668,55,145,20.40801965,10447,4442,1031,5473,1373,3601,4974,5815,4632,10447,62364,45279,18857.41,6056,3226,9282,8030,,1252,,10534,-32,9282,343,321,125,14,,,1,147,3,7172,0,,,,,-9,,,,,,,,,,,,,,,,,,,,,,
203,2,3,Iwate,Rikuchû,Isawa,M22,,89.8092509,5,90.34008821,5,87.17631999,5,5,6,5177,6,4,4,10.28243426,814,5177,02031,37,75764,25778.2,255.719744,264,814.31,26042.2,82112.53403,26042.2,11248.4,14793.8,7209.5,1372121,4038.9,119905,1492026,438.1,108,948.7,9.411104,1564.1,12197.1,25093.5,7424,6.819369612,50627,-83,7507,41,29,1,67,86,7322,155,18761,24206,30,153,7477,42967,7507,43120,50627,183,50444,96,87,26083,24361,26179,24448,1,0,1,26180,24448,50628,50348,25907,24441,50627,25907,24441,50348,,7424,6.781788793,105.9981179,822,,,563,,,-259,,,,,1385,6447,18006,4077,12499,1,5842,31112.4,,,,,,,25,25,26,3.6,2.4,15.2,89,,,,124,37,1032,780,252,55,143,316,111,155,605,58,0.712259459,45,103,12.64874556,8955,3396,497,3893,1366,3696,5062,4762,4193,8955,61827,41273,26114.51,4722,2248,6970,4869,,2101,,9071,537,6970,3,11,095,11,,,0,102,5,4401,0,,,,,-9,,,,,,,,,,,,,,,,,,,,,,
204,2,4,Iwate,Rikuchû,Esashi,M22,,90.56995093,5,89.88520436,5,88.00860213,5,4,6,3835,7,5,5,9.593495935,355,3835,02041,41,38815,23546.6,233.582272,182.6,354.594,23729.2,35756.17626,23729.2,7777.7,15951.5,3755.2,944896,4022.5,357674,1302570,522,218,702.6,6.969792,2835.1,8480.3,23026.6,7008,5.756992009,40345,-30,7038,34,10,0,29,38,6905,123,13648,19592,10,67,7028,33240,7038,33307,40345,77,40268,39,38,20553,19715,20592,19753,1,0,1,20593,19753,40346,39985,20290,19695,40345,20290,19695,39975,,7008,5.704195205,103.0210713,537,,,176,,,-361,,,,,713,9845,20428,4453,9277,14,3674,3160.8,,,,,,,25,25,24,1.3,0.51,12.154,7,,,,2,22,908,742,166,77,82,283,127,173,498,66,1.861283609,49,115,32.43145682,5864,2583,638,3221,597,2046,2643,3180,2684,5864,49852,36309,17872.88,4054,2165,6219,4246,,1946,,8138,819,6219,36,94,07,095,,,0,299,4,3391,0,,,,,-9,,,,,,,,,,,,,,,,,,,,,,
205,2,5,Iwate,Rikuchû,Hiqashiwaga,M22,,93.70423195,4,90.58535696,5,87.88400156,5,5,,,8,,6,0,595,,,page 105 東北編,,22618,224.37056,305.2,595.266,22923.2,60024.80589,22922.9,11735,11187.9,5915.2,1641310,5819.8,482533,2123843,526.7,249.4,948.4,9.408128,1400,12683.4,21974.8,7428,6.169224556,45825,-43,7471,35,19,1,40,37,7332,119,16240,22037,20,77,7451,38277,7471,38354,45825,97,45728,59,38,23572,22156,23631,22194,2,2,4,23633,22196,45829,45660,23429,22231,45825,23429,22231,45660,,7428,6.147011309,105.3888714,702,see variable,,446,,,-256,,,,,1148,9194,14757,2885,7070,8,5734,26102.5,,,,,,,20,25,,1,0.5,18,12,,,,82,13,790,634,156,31,133,245,103,122,442,243,4.082208626,34,277,46.53381849,6870,2583,426,3009,1084,2777,3861,3667,3203,6870,69751,57072,30856.28,4119,3362,7481,5234,,2247,,9728,-10,7481,19,16,02,025,068,2,0,384,1,4972,0,,,,,-9,,,,,,,,,,,,,,,,,,,,,,
206,2,6,Iwate,Rikuchû,Nishiwaga,M22,,84.90070998,5,89.81306171,5,81.21566818,5,5,,,8,,6,0,598,,,page 105 東北編,,6133.5,60.84432,25.2,598.361,6158.7,60336.89624,6158.7,1571.7,4587,978.3,85506,593.4,13721,99227,176.9,60.6,131.2,1.301504,150,1702.9,6027.5,1075,6.688372093,7190,55,1020,7,0,0,0,0,1019,1,2759,3411,0,0,1020,6170,1020,6170,7190,0,7190,0,0,3778,3412,3778,3412,0,0,0,3778,3412,7190,7197,3786,3411,7190,3786,3411,7197,,1075,6.694883721,110.9938434,36,#100-106,,119,,,83,,,,,155,,,,,99,1198,27313.7,,,,,,,18,20,,0.8,0.4,17,11,,,,33,2,150,69,81,1,12,20,19,17,111,64,1.069588426,3,67,11.19725383,1149,416,5,421,173,555,728,589,560,1149,3185,2721,1602.585,722,287,1009,860,,149,,1158,11,1009,,,02,025,035,05,33,144,3,2393,0,,,,,-9,,,,,,,,,,,,,,,,,,,,,,
207,2,7,Iwate,Rikuchû,Hienuki,M22,,94.61686971,4,90.45204339,5,88.7492747,5,5,6,6152,5,3,4,14.46712445,752,6152,02071,68,51690,29062.9,288.303968,280.7,751.761,29343.6,75805.28386,29343.6,11842.5,17501.1,5925.2,1657119,5917.3,555115,2212234,530.9,272.6,996.9,9.889248,840,12839.4,28346.7,7317,5.90132568,43180,-136,7453,29,13,0,20,34,7297,143,15089,20584,13,54,7440,35673,7453,35727,43180,67,43113,33,34,22386,20727,22419,20761,1,0,1,22420,20761,43181,42524,21823,20701,43180,21823,20701,42524,,7317,5.81167145,105.420028,1207,,,555,see variable,,-652,,,,,1762,7977,14245,3295,8930,0,5885,30058.5,,,,,,,20,24,,1,0.5,21,14,,,,108,32,721,524,197,35,143,169,49,128,503,178,2.3677738,46,224,29.79670401,6999,2525,454,2979,1329,2691,4020,3854,3145,6999,68329,60838,31049.85,4932,1917,6849,4549,,2306,,9161,604,6849,1588,1841,018,02,063,,0,294,3,4927,0,,,,,-9,,,,,,,,,,,,,,,,,,,,,,
208,2,8,Iwate,Rikuchû,Shiwa,M22,,98.96221519,3,94.24948661,4,90.55135169,5,4,7,,8,,6,0,307,,,75,54631,19103.7,189.508704,147.5,307.472,19251.2,31004.53766,19251.2,10586,8665.2,5726.6,1851216,4859.4,408161,2259377,568.8,232,934.1,9.266272,800,11520.1,18317.1,6013,6.533178114,39284,-98,6111,25,34,1,85,110,6021,55,14169,18809,35,195,6076,32978,6111,33173,39284,230,39054,119,111,20190,18864,20309,18975,0,1,1,20309,18976,39285,38739,19861,18878,39284,19861,18878,38739,,6013,6.442541161,105.2071194,794,,,264,#100-106,,-530,,,,,1058,9731,13239,4052,5620,0,4567,10281,,,,,,,20,19,,1.7,1.2,20.16,1395,,,,87,42,739,586,153,47,115,197,73,154,469,121,3.935317687,36,157,51.06156008,6587,2417,498,2915,1240,2432,3672,3657,2930,6587,72513,60352,34869.67,4621,1031,5652,4041,,1611,,7263,459,5652,335,477,06,07,,,0,462,5,4859,0,,,,,-9,,,,,,,,,,,,,,,,,,,,,,
209,2,9,Iwate,Rikuchû,Minamiiwate (incl Morioka),M22,,91.194333,5,89.59393345,5,86.00303953,5,4,4,29716,3,1,1,91.31022616,1251,29716,02091,page 99 東北編,,48665.9,482.765728,106.2,1251.34,48772.1,126181.3048,48771.8,10176.4,38595.4,3720.1,1135793,6456.3,439414,1575207,608.3,290,597.5,5.9272,450,10773.9,48174.6,5321,6.295621124,33499,-216,5537,26,300,3,479,818,5141,93,11501,15164,303,1297,5234,26665,5537,27962,33499,1600,31899,779,821,16642,15257,17421,16078,1,0,1,17422,16078,33500,32544,16673,15871,33499,16673,15871,32544,,5321,6.116143582,105.0532418,1153,,,213,,,-940,,,,,1366,6787,7938,1199,1453,30,7656,57724.8,,,,,,,18,19,,1.8,1.1,19,1223,,,,35,34,636,438,198,30,105,120,42,141,474,85,0.679271821,35,120,9.58971982,6031,1588,322,1910,1624,2497,4121,3212,2819,6031,48254,42387,22669.94,4004,2030,6034,3464,,2570,,8604,-497,6034,61,144,07,09,13,15,0,987,0,0,0,,,,,-9,,,,,,,,,,,,,,,,,,,,,,
210,2,10,Iwate,Rikuchû,Kitaiwate,M22,,91.28430897,5,91.39792734,5,86.78647736,5,5,,,8,,6,0,1203,,,page 99 東北編,,31086.5,308.37808,37.9,1203.2,31124.4,121327.0142,31124.4,7013.1,24111.3,1986.6,538138,5026.5,421812,959950,421.3,185.6,462.9,4.591968,800,7476,30661.5,3718,6.641473911,24693,-258,3976,18,50,2,91,151,3866,58,9027,11448,52,242,3924,20475,3976,20717,24693,294,24399,141,153,12893,11506,13034,11659,0,0,0,13034,11659,24693,24182,12597,11585,24693,12597,11585,24182,,3718,6.504034427,108.7354338,647,,,146,,,-501,,,,,793,1451,1416,410,483,7,6496,31007.7,,,,,,,22,24,,1.6,1.4,16.57,1028,,,,72,39,620,431,189,75,68,54,93,141,473,134,1.113696809,13,147,12.21742021,4156,973,124,1097,1263,1796,3059,2236,1920,4156,41059,26724,10153.28,3163,520,3683,3029,,654,,4337,293,3683,373,1066,017,024,,,0,1568,0,0,0,,,,,-9,,,,,,,,,,,,,,,,,,,,,,
211,2,11,Iwate,Rikuchû,Higashihei,M22,,85.92632975,5,88.89300081,5,88.64923321,5,5,6,4148,6,4,4,10.26478594,588,4148,02111,page 108 東北編,,39103.6,387.907712,116.2,587.822,39219.8,59274.17566,39219.8,6470.7,32749.1,623.5,216468,5847.2,295339,511807,537.8,194.3,260,2.5792,2100,6730.7,38959.8,6907,5.912407702,40837,-359,7266,29,25,0,54,71,6777,464,13559,19887,25,125,7241,33446,7266,33571,40837,150,40687,79,71,20336,20351,20415,20422,0,0,0,20415,20422,40837,40410,20017,20393,40837,20017,20393,40410,,6907,5.850586362,98.15623008,1018,,,636,,,-382,,,,,1654,10183,14120,2722,3828,713,3036,26375.8,,,,,,,25,25,22,2,1.5,35.6,26818,,,,3,42,765,533,232,71,94,130,118,120,517,111,1.888326738,19,130,22.11553838,6418,2311,510,2821,1249,2348,3597,3560,2858,6418,34036,15229,4156.909,2200,2371,4571,3173,,1398,,5969,2695,4571,61,66,041,046,,,155,601,5,11415,5,,,,,-9,,,,,,,,,,,,,,,,,,,,,,
212,2,12,Iwate,Rikuchû,Nishihei,M22,,89.97712439,5,90.29525528,5,84.62620514,5,5,6,5347,5,2,4,20.71356628,836,5347,02121,page 108 東北編,,24911.4,247.121088,42.1,835.677,24953.5,84267.11707,24953.5,7449.8,17503.7,2138.1,542610,5311.7,404798,947408,442.5,147.9,407.6,4.043392,2000,7857.4,24545.9,4705,5.538788523,26060,-85,4790,29,10,1,16,30,4678,101,8641,12583,11,46,4779,21224,4790,21270,26060,57,26003,26,31,13319,12684,13345,12715,0,0,0,13345,12715,26060,25814,13111,12703,26060,13111,12703,25814,,4705,5.486503719,103.2118397,551,,,315,,,-236,,,,,866,9129,14251,2848,4646,14,7600,17594.6,,,,,,,20,30,23,1.5,1,17,5,,,,2,22,439,350,89,21,51,143,61,74,235,78,0.933374976,28,106,12.6843266,3438,1645,557,2202,451,785,1236,2096,1342,3438,36903,26273,10326.48,2862,1327,4189,2954,,1236,,5426,601,4189,40,80,04,05,11,1,0,712,2,4135,0,,,,,-9,,,,,,,,,,,,,,,,,,,,,,
213,2,13,Iwate,Rikuchû,Minamihei,M22,,84.56350813,5,85.67546681,5,84.74006888,5,5,6,4421,5,2,4,21.61752482,799,4421,02131,page 108 東北編,,25937.7,257.301984,51.9,799.382,25989.6,80607.24009,25989.6,2325.9,23663.7,168.9,49615,2157,120280,169895,445.6,139.9,115.6,1.146752,2000,2441.5,25874,3489,5.787904844,20194,88,3401,12,3,0,4,5,3323,75,6878,9906,3,9,3398,16784,3401,16793,20194,12,20182,7,5,10201,9981,10208,9986,0,0,0,10208,9986,20194,20451,10359,10092,20194,10359,10092,20451,,3489,5.861564918,102.6456599,190,,,458,,,268,,,,,648,3862,6332,866,1601,503,2074,11750.4,,,,,,,22,25,25,1.5,0.5,13,85,,,,1,27,345,257,88,15,20,59,76,87,210,65,0.813128141,10,75,9.382247786,6247,1023,275,1298,2254,2695,4949,3277,2970,6247,12154,5985,1023.905,1015,768,1783,1387,,396,,2179,1618,1783,90,88,085,08,,,41,222,2,2500,0,,,,,-9,,,,,,,,,,,,,,,,,,,,,,
